,Age,Fare,Parch,PassengerId,Pclass,SibSp,male
0,34.5,7.8292,0,892,3,0,1
1,47.0,7.0,0,893,3,1,0
2,62.0,9.6875,0,894,2,0,1
3,27.0,8.6625,0,895,3,0,1
4,22.0,12.2875,1,896,3,1,0
5,14.0,9.225,0,897,3,0,1
6,30.0,7.6292,0,898,3,0,0
7,26.0,29.0,1,899,2,1,1
8,18.0,7.2292,0,900,3,0,0
9,21.0,24.15,0,901,3,2,1
11,46.0,26.0,0,903,1,0,1
12,23.0,82.2667,0,904,1,1,0
13,63.0,26.0,0,905,2,1,1
14,47.0,61.175,0,906,1,1,0
15,24.0,27.7208,0,907,2,1,0
16,35.0,12.35,0,908,2,0,1
17,21.0,7.225,0,909,3,0,1
18,27.0,7.925,0,910,3,1,0
19,45.0,7.225,0,911,3,0,0
20,55.0,59.4,0,912,1,1,1
21,9.0,3.1708,1,913,3,0,1
23,21.0,61.3792,1,915,1,0,1
24,48.0,262.375,3,916,1,1,0
25,50.0,14.5,0,917,3,1,1
26,22.0,61.9792,1,918,1,0,0
27,22.5,7.225,0,919,3,0,1
28,41.0,30.5,0,920,1,0,1
30,50.0,26.0,0,922,2,1,1
31,24.0,31.5,0,923,2,2,1
32,33.0,20.575,2,924,3,1,0
34,30.0,57.75,0,926,1,1,1
35,18.5,7.2292,0,927,3,0,1
37,21.0,8.6625,0,929,3,0,0
38,25.0,9.5,0,930,3,0,1
40,39.0,13.4167,1,932,3,0,1
42,41.0,7.85,0,934,3,0,1
43,30.0,13.0,0,935,2,0,0
44,45.0,52.5542,0,936,1,1,0
45,25.0,7.925,0,937,3,0,1
46,45.0,29.7,0,938,1,0,1
48,60.0,76.2917,0,940,1,0,0
49,36.0,15.9,2,941,3,0,0
50,24.0,60.0,0,942,1,1,1
51,27.0,15.0333,0,943,2,0,1
52,20.0,23.0,1,944,2,2,0
53,28.0,263.0,2,945,1,3,0
55,10.0,29.125,1,947,3,4,1
56,35.0,7.8958,0,948,3,0,1
57,25.0,7.65,0,949,3,0,1
59,36.0,262.375,0,951,1,0,0
60,17.0,7.8958,0,952,3,0,1
61,32.0,13.5,0,953,2,0,1
62,18.0,7.75,0,954,3,0,1
63,22.0,7.725,0,955,3,0,0
64,13.0,262.375,2,956,1,2,1
66,18.0,7.8792,0,958,3,0,0
67,47.0,42.4,0,959,1,0,1
68,31.0,28.5375,0,960,1,0,1
69,60.0,263.0,4,961,1,1,0
70,24.0,7.75,0,962,3,0,0
71,21.0,7.8958,0,963,3,0,1
72,29.0,7.925,0,964,3,0,0
73,28.5,27.7208,0,965,1,0,1
74,35.0,211.5,0,966,1,0,0
75,32.5,211.5,0,967,1,0,1
77,55.0,25.7,0,969,1,2,0
78,30.0,13.0,0,970,2,0,1
79,24.0,7.75,0,971,3,0,0
80,6.0,15.2458,1,972,3,1,1
81,67.0,221.7792,0,973,1,1,1
82,49.0,26.0,0,974,1,0,1
86,27.0,7.8792,0,978,3,0,0
87,18.0,8.05,0,979,3,0,0
89,2.0,23.0,1,981,2,1,1
90,22.0,13.9,0,982,3,1,0
92,27.0,52.0,2,984,1,1,0
94,25.0,26.0,0,986,1,0,1
95,25.0,7.7958,0,987,3,0,1
96,76.0,78.85,0,988,1,1,0
97,29.0,7.925,0,989,3,0,1
98,20.0,7.8542,0,990,3,0,0
99,33.0,8.05,0,991,3,0,1
100,43.0,55.4417,0,992,1,1,0
101,27.0,26.0,0,993,2,1,1
103,26.0,7.775,0,995,3,0,1
104,16.0,8.5167,1,996,3,1,0
105,28.0,22.525,0,997,3,0,1
106,21.0,7.8208,0,998,3,0,1
109,18.5,13.0,0,1001,2,0,1
110,41.0,15.0458,0,1002,2,0,1
112,36.0,31.6792,0,1004,1,0,0
113,18.5,7.2833,0,1005,3,0,0
114,63.0,221.7792,0,1006,1,1,0
115,18.0,14.4542,0,1007,3,1,1
117,1.0,16.7,1,1009,3,1,0
118,36.0,75.2417,0,1010,1,0,1
119,29.0,26.0,0,1011,2,1,0
120,12.0,15.75,0,1012,2,0,0
122,35.0,57.75,0,1014,1,1,0
123,28.0,7.25,0,1015,3,0,1
125,17.0,16.1,1,1017,3,0,0
126,22.0,7.7958,0,1018,3,0,1
128,42.0,13.0,0,1020,2,0,1
129,24.0,8.05,0,1021,3,0,1
130,32.0,8.05,0,1022,3,0,1
131,53.0,28.5,0,1023,1,0,1
134,43.0,7.8958,0,1026,3,0,1
135,24.0,7.8542,0,1027,3,0,1
136,26.5,7.225,0,1028,3,0,1
137,26.0,13.0,0,1029,2,0,1
138,23.0,8.05,0,1030,3,0,0
139,40.0,46.9,6,1031,3,1,1
140,10.0,46.9,2,1032,3,5,0
141,33.0,151.55,0,1033,1,0,0
142,61.0,262.375,3,1034,1,1,1
143,28.0,26.0,0,1035,2,0,1
144,42.0,26.55,0,1036,1,0,1
145,31.0,18.0,0,1037,3,3,1
147,22.0,8.05,0,1039,3,0,1
149,30.0,26.0,1,1041,2,1,1
150,23.0,83.1583,1,1042,1,0,0
153,36.0,12.1833,2,1045,3,0,0
154,13.0,31.3875,2,1046,3,4,1
155,24.0,7.55,0,1047,3,0,1
156,29.0,221.7792,0,1048,1,0,0
157,23.0,7.8542,0,1049,3,0,0
158,42.0,26.55,0,1050,1,0,1
159,26.0,13.775,2,1051,3,0,0
161,7.0,15.2458,1,1053,3,1,1
162,26.0,13.5,0,1054,2,0,0
164,41.0,13.0,0,1056,2,0,1
165,26.0,22.025,1,1057,3,1,0
166,48.0,50.4958,0,1058,1,0,1
167,18.0,34.375,2,1059,3,2,1
169,22.0,8.9625,0,1061,3,0,0
171,27.0,7.225,0,1063,3,0,1
172,23.0,13.9,0,1064,3,1,1
174,40.0,31.3875,5,1066,3,1,1
175,15.0,39.0,2,1067,2,0,0
176,20.0,36.75,0,1068,2,0,0
177,54.0,55.4417,0,1069,1,1,1
178,36.0,39.0,3,1070,2,0,0
179,64.0,83.1583,2,1071,1,0,0
180,30.0,13.0,0,1072,2,0,1
181,37.0,83.1583,1,1073,1,1,1
182,18.0,53.1,0,1074,1,1,0
184,27.0,247.5208,1,1076,1,1,0
185,40.0,16.0,0,1077,2,0,1
186,21.0,21.0,1,1078,2,0,0
187,17.0,8.05,0,1079,3,2,1
189,40.0,13.0,0,1081,2,0,1
190,34.0,26.0,0,1082,2,1,1
192,11.5,14.5,1,1084,3,1,1
193,61.0,12.35,0,1085,2,0,1
194,8.0,32.5,2,1086,2,0,1
195,33.0,7.8542,0,1087,3,0,1
196,6.0,134.5,2,1088,1,0,1
197,18.0,7.775,0,1089,3,0,0
198,23.0,10.5,0,1090,2,0,1
201,0.33,14.4,2,1093,3,0,1
202,47.0,227.525,0,1094,1,1,1
203,8.0,26.0,1,1095,2,1,0
204,25.0,10.5,0,1096,2,0,1
206,35.0,7.75,0,1098,3,0,0
207,24.0,10.5,0,1099,2,0,1
208,33.0,27.7208,0,1100,1,0,0
209,25.0,7.8958,0,1101,3,0,1
210,32.0,22.525,0,1102,3,0,1
212,17.0,73.5,0,1104,2,0,1
213,60.0,26.0,0,1105,2,1,0
214,38.0,7.775,2,1106,3,4,0
215,42.0,42.5,0,1107,1,0,1
217,57.0,164.8667,1,1109,1,1,1
218,50.0,211.5,1,1110,1,1,0
220,30.0,13.8583,0,1112,2,1,0
221,21.0,8.05,0,1113,3,0,1
222,22.0,10.5,0,1114,2,0,0
223,21.0,7.7958,0,1115,3,0,1
224,53.0,27.4458,0,1116,1,0,0
226,23.0,7.7958,0,1118,3,0,1
228,40.5,15.1,0,1120,3,0,1
229,36.0,13.0,0,1121,2,0,1
230,14.0,65.0,0,1122,2,0,1
231,21.0,26.55,0,1123,1,0,0
232,21.0,6.4958,0,1124,3,1,1
234,39.0,71.2833,0,1126,1,1,1
235,20.0,7.8542,0,1127,3,0,1
236,64.0,75.25,0,1128,1,1,1
237,20.0,7.225,0,1129,3,0,1
238,18.0,13.0,1,1130,2,1,0
239,48.0,106.425,0,1131,1,1,0
240,55.0,27.7208,0,1132,1,0,0
241,45.0,30.0,2,1133,2,0,0
242,45.0,134.5,1,1134,1,1,1
245,41.0,51.8625,0,1137,1,1,1
246,22.0,21.0,0,1138,2,0,0
247,42.0,32.5,1,1139,2,1,1
248,29.0,26.0,0,1140,2,1,0
250,0.92,27.75,2,1142,2,1,0
251,20.0,7.925,0,1143,3,0,1
252,27.0,136.7792,0,1144,1,1,1
253,24.0,9.325,0,1145,3,0,1
254,32.5,9.5,0,1146,3,0,1
257,28.0,8.05,0,1149,3,0,1
258,19.0,13.0,0,1150,2,0,0
259,21.0,7.775,0,1151,3,0,1
260,36.5,17.4,0,1152,3,1,1
261,21.0,7.8542,0,1153,3,0,1
262,29.0,23.0,2,1154,2,0,0
263,1.0,12.1833,1,1155,3,1,0
264,30.0,12.7375,0,1156,2,0,1
269,17.0,8.6625,0,1161,3,0,1
270,46.0,75.2417,0,1162,1,0,1
272,26.0,136.7792,0,1164,1,1,0
275,20.0,26.0,0,1167,2,1,0
276,28.0,10.5,0,1168,2,0,1
277,40.0,26.0,0,1169,2,1,1
278,30.0,21.0,0,1170,2,1,1
279,22.0,10.5,0,1171,2,0,1
280,23.0,8.6625,0,1172,3,0,0
281,0.75,13.775,1,1173,3,1,1
283,9.0,15.2458,1,1175,3,1,0
284,2.0,20.2125,1,1176,3,1,0
285,36.0,7.25,0,1177,3,0,1
287,24.0,82.2667,0,1179,1,1,1
291,30.0,6.95,0,1183,3,0,0
293,53.0,81.8583,1,1185,1,1,1
294,36.0,9.5,0,1186,3,0,1
295,26.0,7.8958,0,1187,3,0,1
296,1.0,41.5792,2,1188,2,1,0
298,30.0,45.5,0,1190,1,0,1
299,29.0,7.8542,0,1191,3,0,1
300,32.0,7.775,0,1192,3,0,1
302,43.0,21.0,1,1194,2,0,1
303,24.0,8.6625,0,1195,3,0,1
305,64.0,26.55,1,1197,1,1,0
306,30.0,151.55,2,1198,1,1,1
307,0.83,9.35,1,1199,3,0,1
308,55.0,93.5,1,1200,1,1,1
309,45.0,14.1083,0,1201,3,1,0
310,18.0,8.6625,0,1202,3,0,1
311,22.0,7.225,0,1203,3,0,1
313,37.0,7.75,0,1205,3,0,0
314,55.0,135.6333,0,1206,1,0,0
315,17.0,7.7333,0,1207,3,0,0
316,57.0,146.5208,0,1208,1,1,1
317,19.0,10.5,0,1209,2,0,1
318,27.0,7.8542,0,1210,3,0,1
319,22.0,31.5,0,1211,2,2,1
320,26.0,7.775,0,1212,3,0,1
321,25.0,7.2292,0,1213,3,0,1
322,26.0,13.0,0,1214,2,0,1
323,33.0,26.55,0,1215,1,0,1
324,39.0,211.3375,0,1216,1,0,0
325,23.0,7.05,0,1217,3,0,1
326,12.0,39.0,1,1218,2,2,0
327,46.0,79.2,0,1219,1,0,1
328,29.0,26.0,0,1220,2,1,1
329,21.0,13.0,0,1221,2,0,1
330,48.0,36.75,2,1222,2,0,0
331,39.0,29.7,0,1223,1,0,1
333,19.0,15.7417,1,1225,3,1,0
334,27.0,7.8958,0,1226,3,0,1
335,30.0,26.0,0,1227,1,0,1
336,32.0,13.0,0,1228,2,0,1
337,39.0,7.2292,2,1229,3,0,1
338,25.0,31.5,0,1230,2,0,1
340,18.0,10.5,0,1232,2,0,1
341,32.0,7.5792,0,1233,3,0,1
343,58.0,512.3292,1,1235,1,0,0
345,16.0,7.65,0,1237,3,0,0
346,26.0,13.0,0,1238,2,0,1
347,38.0,7.2292,0,1239,3,0,0
348,24.0,13.5,0,1240,2,0,1
349,31.0,21.0,0,1241,2,0,0
350,45.0,63.3583,1,1242,1,0,0
351,25.0,10.5,0,1243,2,0,1
352,18.0,73.5,0,1244,2,0,1
353,49.0,65.0,2,1245,2,1,1
354,0.17,20.575,2,1246,3,1,0
355,50.0,26.0,0,1247,1,0,1
356,59.0,51.4792,0,1248,1,2,0
359,30.0,15.55,0,1251,3,1,0
360,14.5,69.55,2,1252,3,8,1
361,24.0,37.0042,1,1253,2,1,0
362,31.0,21.0,0,1254,2,0,0
363,27.0,8.6625,0,1255,3,0,1
364,25.0,55.4417,0,1256,1,1,0
367,22.0,39.6875,0,1259,3,0,0
368,45.0,59.4,1,1260,1,0,0
369,29.0,13.8583,0,1261,2,0,1
370,21.0,11.5,0,1262,2,1,1
371,31.0,134.5,0,1263,1,0,0
372,49.0,0.0,0,1264,1,0,1
373,44.0,13.0,0,1265,2,0,1
374,54.0,81.8583,1,1266,1,1,0
375,45.0,262.375,0,1267,1,0,0
376,22.0,8.6625,0,1268,3,2,0
377,21.0,11.5,0,1269,2,0,1
378,55.0,50.0,0,1270,1,0,1
379,5.0,31.3875,2,1271,3,4,1
381,26.0,7.8792,0,1273,3,0,1
383,19.0,16.1,0,1275,3,1,0
385,24.0,65.0,2,1277,2,1,0
386,24.0,7.775,0,1278,3,0,1
387,57.0,13.0,0,1279,2,0,1
388,21.0,7.75,0,1280,3,0,1
389,6.0,21.075,1,1281,3,3,1
390,23.0,93.5,0,1282,1,0,1
391,51.0,39.4,1,1283,1,0,0
392,13.0,20.25,2,1284,3,0,1
393,47.0,10.5,0,1285,2,0,1
394,29.0,22.025,1,1286,3,3,1
395,18.0,60.0,0,1287,1,1,0
396,24.0,7.25,0,1288,3,0,1
397,48.0,79.2,1,1289,1,1,0
398,22.0,7.775,0,1290,3,0,1
399,31.0,7.7333,0,1291,3,0,1
400,30.0,164.8667,0,1292,1,0,0
401,38.0,21.0,0,1293,2,1,1
402,22.0,59.4,1,1294,1,0,0
403,17.0,47.1,0,1295,1,0,1
404,43.0,27.7208,0,1296,1,1,1
405,20.0,13.8625,0,1297,2,0,1
406,23.0,10.5,0,1298,2,1,1
407,50.0,211.5,1,1299,1,1,1
409,3.0,13.775,1,1301,3,1,0
411,37.0,90.0,0,1303,1,1,0
412,28.0,7.775,0,1304,3,0,0
414,39.0,108.9,0,1306,1,0,0
415,38.5,7.25,0,1307,3,0,1
